run_id,project,config,workflow,stage,energy_joules,duration_seconds,timestamp,python_version
32653178946,httpie,C2,P01 HTTPie C2 Coverage,dependency-installation,87.9943,21.93,,
32653178946,httpie,C2,P01 HTTPie C2 Coverage,coverage,374.415,104.01,,
32653178946,httpie,C2,P01 HTTPie C2 Coverage,dist-test,76.2702,18.77,,
32653115704,gson,C2,P05 Gson C2 Tests,test-execution,216.551,33.72,,
32653110141,resty,C1,P04 resty C1 Tests,checkout,6.20091,1.41,,
32653110141,resty,C1,P04 resty C1 Tests,dependency-installation,44.335,10.33,,
32653110141,resty,C1,P04 resty C1 Tests,test-execution,235.093,78.43,,
32653022956,httpie,C2,P01 HTTPie C2 Code Style,checkout,5.52657,1.27,,
32653022956,httpie,C2,P01 HTTPie C2 Code Style,dependency-installation,66.8848,16.0,,
32653022956,httpie,C2,P01 HTTPie C2 Code Style,lint,76.5793,18.74,,
32652138498,httpie,C2,P01 HTTPie C2 Coverage,dependency-installation,85.5235,20.85,,
32652138498,httpie,C2,P01 HTTPie C2 Coverage,coverage,369.706,102.69,,
32652138498,httpie,C2,P01 HTTPie C2 Coverage,dist-test,79.8272,19.65,,
32652138792,httpie,C2,P01 HTTPie C2 Code Style,checkout,4.18633,1.15,,
32652138792,httpie,C2,P01 HTTPie C2 Code Style,dependency-installation,50.9137,12.41,,
32652138792,httpie,C2,P01 HTTPie C2 Code Style,lint,68.506,16.84,,
32652073506,gson,C2,P05 Gson C2 Tests,checkout,6.38783,1.47,,
32652073506,gson,C2,P05 Gson C2 Tests,test-execution,174.931,27.46,,
32652070212,resty,C1,P04 resty C1 Tests,checkout,8.71665,1.99,,
32652070212,resty,C1,P04 resty C1 Tests,dependency-installation,45.339,10.67,,
32652070212,resty,C1,P04 resty C1 Tests,test-execution,231.669,80.46,,
32651402078,gson,C1,P05 Gson C1 Tests,checkout,5.28903,1.45,,
32651402078,gson,C1,P05 Gson C1 Tests,test-execution,305.434,55.07,,
32651401121,httpie,C1,P01 HTTPie C1 Coverage,checkout,4.20396,1.13,,
32651401121,httpie,C1,P01 HTTPie C1 Coverage,dependency-installation,108.73,26.56,,
32651401121,httpie,C1,P01 HTTPie C1 Coverage,coverage,390.403,107.83,,
32651401121,httpie,C1,P01 HTTPie C1 Coverage,dist-test,82.2724,20.17,,
32651400766,resty,C3,P04 resty C3 Consolidated,checkout,3.65654,1.83,,
32651400766,resty,C3,P04 resty C3 Consolidated,dependency-installation,34.9796,9.18,,
32651400766,resty,C3,P04 resty C3 Consolidated,test-execution,181.712,81.15,,
32651401029,resty,C4,P04 resty C4 Combined,checkout,5.42366,1.55,,
32651401029,resty,C4,P04 resty C4 Combined,dependency-installation,36.9346,9.69,,
32651401029,resty,C4,P04 resty C4 Combined,test-execution,177.697,78.46,,
32651400311,resty,C2,P04 resty C2 Tests,checkout,7.71549,1.72,,
32651400311,resty,C2,P04 resty C2 Tests,dependency-installation,50.3218,11.76,,
32651400311,resty,C2,P04 resty C2 Tests,test-execution,251.607,81.24,,
32651399406,httpie,C2,P01 HTTPie C2 Tests,checkout,5.26876,1.2,,3.10
32651399406,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,101.519,24.41,,3.10
32651399406,httpie,C2,P01 HTTPie C2 Tests,test-execution,355.69,99.4,,3.10
32651399406,httpie,C2,P01 HTTPie C2 Tests,checkout,14.2408,2.94,,3.12
32651399406,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,120.467,25.95,,3.12
32651399406,httpie,C2,P01 HTTPie C2 Tests,test-execution,354.267,91.44,,3.12
32651399406,httpie,C2,P01 HTTPie C2 Tests,checkout,4.10525,1.25,,3.11
32651399406,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,78.6785,19.24,,3.11
32651399406,httpie,C2,P01 HTTPie C2 Tests,test-execution,319.469,90.89,,3.11
32651130742,gson,C4,P05 Gson C4 Combined,checkout,6.80389,1.8,,
32651130742,gson,C4,P05 Gson C4 Combined,test-execution,216.315,33.57,,
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,97.7521,23.56,,
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,coverage,377.249,104.67,,
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,dist-test,77.6968,19.01,,
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,checkout,3.96291,1.13,,3.10
